district,city_name,central_name,type,dist_km,address,phone,match_type,city_area_type,central_discount
東區,南驛風尚,南驛風尚,guesthouse,,台南市東區民族路一段48號,0982755815,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
東區,林森秘境27,林森秘境27,guesthouse,,臺南市東區林森路一段27號,0953664305,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
東區,台南老爺行旅,台南老爺行旅,hotel,,臺南市東區東光里1鄰中華東路一段368號,06-2366168,名稱完全一致,basic,活動期間入住者本人需同時使用國旅平日住宿獎助及生日券，方可獲得每房加贈爺友券2張(價值200元)。爺友券可於台南老爺行旅 甘粹餐廳、回甘BAR、甘情商號 使用，恕不得折抵房費。
東區,閤厝,閤厝,guesthouse,,臺南市東區長榮路二段32巷181號,0956471119,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
北區,榮美金鬱金香酒店,榮美金鬱金香酒店,hotel,,臺南市北區海安路三段50號,06-2200366,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
北區,Hanlife6910巷仔內,HanLife6910巷仔內,guesthouse,,臺南市北區裕民街69巷10號,0937116078,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
北區,Bellus Inn,Bellus Inn,guesthouse,,台南市北區臨安路二段14號,06-2211889,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
北區,宅夏都,宅夏都,hotel,,台南市北區成功路114號,06-2221168,名稱完全一致,basic,此補助方案適用宅夏都各項住房專案
中西區,鳳米宿,鳳米宿,guesthouse,,台南市中西區赤嵌街15巷18號,0911686713,名稱完全一致,basic,（依觀光署規定享平日折抵資格）
中西區,木木家,木木家,guesthouse,,臺南市中西區大同路一段46巷21弄20號,0909902336,名稱完全一致,basic,"木木家｜平日連住優惠🌿 連住2晚以上，每晚享優惠價！原價 1,600 元／晚👉 第1晚 1,600元👉 第2晚起，每晚只要1200元✨ 住2晚：2,800元✨ 住3晚：4,000元✨ 住4晚：5,200元再依旅客資格享有政府平日住宿獎助，實際補助金額依活動規定辦理。平日限定（週日～週四） 不合併木木家其他優惠折扣。聯絡電話：0909902336"
